index,battery_error,position_error
188,0.0088,0.5821
189,0.0255,2.3617
190,0.0000,0.0000
191,0.0000,0.0000
192,0.0000,0.0000
193,0.0000,0.0000
194,0.0000,0.0000
195,0.0000,0.0000
196,0.0000,0.0000
197,0.0000,0.0000
198,0.0000,0.0000
199,0.0000,0.0000
200,0.0146,1.9704
201,0.0003,2.0988
202,0.0181,2.8000
203,0.0124,0.8523
204,0.0016,3.1410
205,0.0029,1.4343
206,0.0274,0.9280
207,0.0331,1.9761
208,0.0193,1.8725
209,0.0067,1.9931
210,0.0000,0.0000
211,0.0000,0.0000
212,0.0000,0.0000
213,0.0000,0.0000
214,0.0000,0.0000
215,0.0000,0.0000
216,0.0000,0.0000
217,0.0000,0.0000
218,0.0000,0.0000
219,0.0000,0.0000
220,0.0235,1.4345
221,0.0251,2.7728
222,0.0134,1.2932
223,0.0052,0.4385
224,0.0076,2.6799
225,0.0160,0.8777
226,0.0107,2.8976
227,0.0124,2.5857
228,0.0346,3.8912
229,0.0154,2.6385
230,0.0000,0.0000
231,0.0000,0.0000
232,0.0000,0.0000
233,0.0000,0.0000
234,0.0000,0.0000
235,0.0000,0.0000
236,0.0000,0.0000
237,0.0000,0.0000
238,0.0000,0.0000
239,0.0000,0.0000
240,0.0105,1.8637
241,0.0272,2.7801
242,0.0139,3.6726
243,0.0013,0.6949
244,0.0038,1.5498
245,0.0012,2.5053
246,0.0242,0.0716
247,0.0129,1.6438
248,0.0176,1.4690
249,0.0143,2.2355
250,0.0000,0.0000
251,0.0000,0.0000
252,0.0000,0.0000
253,0.0000,0.0000
254,0.0000,0.0000
255,0.0000,0.0000
256,0.0000,0.0000
257,0.0000,0.0000
258,0.0000,0.0000
259,0.0000,0.0000
260,0.0009,2.6048
261,0.0088,0.8428
262,0.0125,4.5306
263,0.0125,4.2985
264,0.0001,1.7234
265,0.0227,1.9090
266,0.0035,1.6724
267,0.0009,2.6731
268,0.0174,2.1851
269,0.0045,2.2415
270,0.0000,0.0000
271,0.0000,0.0000
272,0.0000,0.0000
273,0.0000,0.0000
274,0.0000,0.0000
275,0.0000,0.0000
276,0.0000,0.0000
277,0.0000,0.0000
278,0.0000,0.0000
279,0.0000,0.0000
280,0.0022,2.2895
281,0.0073,1.3551
282,0.0237,1.2835
283,0.0012,3.1514
284,0.0037,1.5146
285,0.0041,1.3166
286,0.0045,3.3655
287,0.0141,1.6122
288,0.0094,3.2336
289,0.0029,0.6249
290,0.0000,0.0000
291,0.0000,0.0000
292,0.0000,0.0000
293,0.0000,0.0000
294,0.0000,0.0000
295,0.0000,0.0000
296,0.0000,0.0000
297,0.0000,0.0000
298,0.0000,0.0000
299,0.0000,0.0000
300,0.0027,1.4345
301,0.0279,2.8896
302,0.0310,3.1271
303,0.0199,3.9805
304,0.0148,3.4030
305,0.0232,1.6219
306,0.0447,3.5087
307,0.0180,3.8420
308,0.0353,2.2445
309,0.0073,3.4385
310,0.0000,0.0000
311,0.0000,0.0000
312,0.0000,0.0000
313,0.0000,0.0000
314,0.0000,0.0000
315,0.0000,0.0000
316,0.0000,0.0000
317,0.0000,0.0000
318,0.0000,0.0000
319,0.0000,0.0000
320,0.0092,2.7909
321,0.0417,2.1286
322,0.0289,1.9632
323,0.0092,2.1275
324,0.0138,0.4981
325,0.0073,0.6444
326,0.0056,1.1723
327,0.0384,1.9726
328,0.0242,1.8032
329,0.0209,1.3828
330,0.0000,0.0000
331,0.0000,0.0000
332,0.0000,0.0000
333,0.0000,0.0000
334,0.0000,0.0000
335,0.0000,0.0000
336,0.0000,0.0000
337,0.0000,0.0000
338,0.0000,0.0000
339,0.0000,0.0000
340,0.0027,1.0495
341,0.0265,2.8272
342,0.0199,1.5955
343,0.0101,2.2564
344,0.0274,1.1785
345,0.0285,3.4154
346,0.0094,0.9321
347,0.0223,1.9861
348,0.0102,3.1904
349,0.0070,2.9549
350,0.0000,0.0000
351,0.0000,0.0000
352,0.0000,0.0000
353,0.0000,0.0000
354,0.0000,0.0000
355,0.0000,0.0000
356,0.0000,0.0000
357,0.0000,0.0000
358,0.0000,0.0000
359,0.0000,0.0000
360,0.0044,3.7177
361,0.0011,3.9080
362,0.0203,0.9304
363,0.0017,2.3705
364,0.0103,1.5583
365,0.0220,2.3087
366,0.0003,1.4513
367,0.0157,2.5140
368,0.0329,1.6470
369,0.0062,2.9243
370,0.0000,0.0000
371,0.0000,0.0000
372,0.0000,0.0000
373,0.0000,0.0000
374,0.0000,0.0000
375,0.0000,0.0000
376,0.0000,0.0000
377,0.0000,0.0000
378,0.0000,0.0000
379,0.0000,0.0000
380,0.0266,3.3737
381,0.0217,3.0537
382,0.0010,1.1079
383,0.0116,2.2001
384,0.0057,2.6368
385,0.0227,3.5040
386,0.0046,0.0911
387,0.0034,2.3755
388,0.0066,3.0482
389,0.0071,2.1820
